단지명,계약일자,거래금액,전용면적,층,건축년도,도로명
초전해모로루비채4단지,2023-02-11,31900,84.9908,17,2014,초북로
주공그린빌,2023-02-21,18000,59.27,9,2005,내동로348번길
한주한보,2023-02-06,13500,59.73,14,1995,망경로296번길
평거휴먼시아4단지,2023-02-14,32000,84.95,6,2011,새평거로
한주럭키타운,2023-02-21,22500,76.58,5,1990,진주대로
주공그린빌,2023-02-11,16250,51.74,7,2005,내동로348번길
진주초장엠코타운더이스턴파크,2023-02-16,33000,84.977,28,2014,초북로
평거휴먼시아4단지,2023-02-21,33500,84.95,8,2011,새평거로
주공그린빌,2023-02-19,16150,51.74,4,2005,내동로348번길
일반성에이원,2023-02-20,9000,59.9461,6,2016,동부로
일반성에이원,2023-02-20,9000,59.9461,7,2016,동부로
삼호가든맨션,2023-02-21,8200,84.63,5,1988,신안로164번길
태완노블리안,2023-02-20,5800,59.9801,4,2007,공치고개길
금산흥한골든빌,2023-02-08,14000,73.61,9,2002,금산로
흥한타운2,2023-02-19,16500,59.935,10,1995,평거로139번길
진주혁신도시중흥에스-클래스더프라임,2023-02-05,49000,97.7268,16,2019,소호로19번길
더퀸즈웰가,2023-02-20,29000,58.7908,18,2015,새평거로
평거현대1,2023-02-10,22000,84.75,1,1993,평거로115번길
초전해모로루비채4단지,2023-02-11,33200,84.9671,15,2014,초북로
현대,2023-02-19,23300,84.955,6,1997,초전남로
금호석류,2023-02-18,41300,122.49,12,1999,강남로
우신파크맨션,2023-02-20,8000,83.64,6,1992,숙호산로
초전해모로루비채4단지,2023-02-15,32700,84.9671,14,2014,초북로
한림풀에버,2023-02-19,40500,84.9088,21,2015,소호로
벽산블루밍(구)동신,2023-02-07,12300,72.86,12,1993,진양호로125번길
이지더원,2023-02-11,39500,84.9614,15,2018,초장로
혁신도시엘에이치아파트9단지,2023-02-19,28500,59.97,14,2017,사들로
상대한보타운,2023-02-20,30000,146.24,6,2002,도동천로
한림풀에버,2023-02-14,37000,84.9088,3,2015,소호로
포레나신진주,2023-02-18,41500,84.9543,32,2019,진주역로96번길
건일,2023-02-11,6500,51.61,2,1987,상대로119번길
흥한타운,2023-02-09,12000,59.88,11,1995,대신로243번길
현대,2023-02-18,13700,59.89,20,1996,하대로
금산흥한골든빌,2023-02-09,7000,37.84,9,2002,금산로
금산흥한골든빌,2023-02-14,8000,48.31,11,2002,금산로
진주혁신도시중흥에스-클래스더프라임,2023-02-18,51500,97.7268,16,2019,소호로19번길
한보타운,2023-02-19,12200,84.6,4,1993,진양호로97번길
금산흥한골든빌,2023-02-01,18900,84.88,11,2002,금산로
두산위브,2023-02-18,21000,84.991,15,2009,중장로154번길
한보타운,2023-02-18,10400,84.6,1,1993,진양호로97번길
초전해모로루비채4단지,2023-02-12,32500,84.9908,13,2014,초북로
진주혁신도시중흥에스-클래스센트럴시티2단지,2023-02-15,52800,99.8723,7,2020,에나로
초전해모로루비채4단지,2023-02-07,42000,100.8994,28,2014,초북로
이현하이클래스웰가,2023-02-17,42200,122.01,25,2008,진주대로
진주혁신도시대방노블랜드더캐슬아파트,2023-02-14,51000,84.9899,12,2018,사들로
진주혁신도시라온프라이빗아파트,2023-02-15,41000,84.8922,21,2017,대밭골로
가호에일린의뜰,2023-02-11,33000,77.8216,11,2012,강변길
진주문산코아루,2023-02-16,35300,140.208,10,2010,월아산로1117번길
금광팰리스,2023-02-17,15350,84.732,5,2011,진양호로570번길
엠코타운더프라하,2023-02-16,40800,84.933,12,2014,새평거로
하영파크,2023-02-11,6300,56.74,5,1991,말티고개로100번길
금산아이파크,2023-02-08,20100,84.17,12,2004,중천로
진주센트럴자이,2023-02-14,33000,84.9059,4,2013,도동천로
신안주공3,2023-02-17,16700,59.8,4,1997,석갑로
하영그린맨션,2023-02-02,9200,67.98,2,1992,진양호로97번길
진주혁신도시중흥에스-클래스센트럴시티4단지,2023-02-15,44800,84.9815,16,2020,에나로175번길
더퀸즈웰가,2023-02-11,40500,84.7157,7,2015,새평거로
신안주공1,2023-02-11,24500,84.91,2,1998,신안들말길
초전해모로루비채4단지,2023-02-03,33300,84.9671,20,2014,초북로
