단지명,계약일자,거래금액,전용면적,층,건축년도,도로명
,2025-01-14,8500,84.63,5,1989,망경남길
,2025-01-15,3800,30.6298,3,2004,북장대로35번길
,2025-01-21,4300,35.6478,2,2004,북장대로35번길
,2025-01-14,12200,59.73,12,1998,신안로
,2025-01-13,16300,81.6426,6,2020,광제산로26번길
,2025-01-12,16300,57.0,6,2017,하대로26번길
,2025-01-07,22000,156.63,2,1992,진주대로920번길
,2025-02-28,7000,66.6,4,1986,모덕로64번길
,2025-02-18,7000,77.92,3,1991,숙호산로
,2025-02-26,12800,126.36,1,1989,진주대로986번길
,2025-02-25,3500,44.7,5,1990,남강로1093번길
,2025-02-21,12500,58.284,4,2016,동부로1959번길
,2025-02-18,4300,30.6298,2,2004,북장대로35번길
,2025-02-07,7200,70.42,5,1990,하대로106번길
,2025-02-13,18500,84.6132,11,2007,중천로67번길
,2025-02-14,11000,84.75,4,2004,상봉대룡길5번길
,2025-02-07,6550,42.288,3,2004,북장대로35번길
,2025-02-06,6300,57.31,9,1993,향교로115번길
,2025-03-24,13800,84.2,6,1993,향교로115번길
,2025-03-21,16400,81.7626,5,2020,광제산로26번길
,2025-03-28,12000,59.73,10,1998,신안로
,2025-03-24,9200,84.81,3,2001,나불로
,2025-03-14,4500,66.02,1,1984,공단로139번길
,2025-03-06,4200,50.22,5,1986,평거로264번길
,2025-03-04,9950,83.4,3,1989,신안로
,2025-03-01,13000,45.51,2,2017,하대로26번길
,2025-04-12,5600,59.79,3,1990,공단로236번길
,2025-04-12,4050,40.56,1,1987,숙호산로
